id,text,description,time_captured,lang,self-reported location
399253284,"RT @nikiashton: #cdnpoli Conservatives must end war on science and stop dismantling ELA: http://t.co/XIAofPDuIv 
#ndp #npd #ywg","Victim of corporate terrorism raising awareness of abuse, bullying and neglect experienced in Langley, BC. 
",2013-03-20 17:44:23 UTC,en,""
164324862,RT @nspector4: How badly does the Globe editorial board wish to see the #NDP out of the role of alternative government? http://t.co/NfU2 ...,"Information junkie and avid learner. Compassion, Human rights, Gratitude + Civil liberties are important. Freedom is coming.
Welcome.",2013-03-15 10:35:41 UTC,en,""
900693096,RT @SirLoinn: RT @YourAnonNews #CPC govt muzzles librarians &amp; archivists http://t.co/8s4xQnP6Iu #cdnpoli #lpc #ndp @bobraeMP @MarcGa ...,,2013-03-20 12:15:24 UTC,en,""
1152425442,RT @MikeSullivanMP: With @r_garrison at the gathering to celebrate the passage of C-279. Human Rights for ALL Canadians!#ysw #ndp http:/ ...,"Economist; former OBE school trustee, Ottawa City Councillor and MPP Ottawa West; current PA to MP Mike Sullivan (NDP); triathlete",2013-03-21 00:23:49 UTC,en,Ottawa ON Canada
47773642,Best-looking campaign office in town! @Dave_Eby #BCPoli #NDP #564votes #UBC http://t.co/7xx0jZ1nWC,UBC Student / @ams_ubc Councillor / Activist / ΣΧ,2013-03-17 21:25:01 UTC,en,""
82273900,@ThomasMulcair's opposition to #KeystoneXL is bad for big oil. @pmharper's support for it is bad for Canadian jobs. I'll go with the #NDP,"Political organizer. Office Manager at @FriendsMedicare. New Democrat. Study Middle East politics at U of A. Raised in Lloydminster, SK. Views are mine only.",2013-03-15 18:18:04 UTC,en,"Edmonton, AB"
77298060,"RT @DonDavies: Blown opportunity: #bdg13 leaves big environmental, social &amp; fiscal debt to our children: http://t.co/eydU0SvvQZ #NDP ...","I am the Member of Parliament for the great west end Toronto riding of Davenport. I'm a musician, singer, songwriter, journalist, and activist.",2013-03-21 22:59:55 UTC,en,"Toronto, Ontario"
499467984,Nice work everyone. Very proud of the #NDP and all MPs who supported #C279,"Author of AFLOAT http://bit.ly/Xw2HLQ, Senior Editor at Skyhorse Publishing, Canuck.  Also tweets @skyhorsepub. ",2013-03-20 23:11:34 UTC,en,NYC
36398145,I think the #NDP jump in #ableg polls has less to do with the NDP and more to do with the full on #pcaa vs #wrp war.  Boring &amp; uninspiring.,Don't worry about being bitten; he mainly eats filet and has the mandibular potential of a towel at rest.,2013-03-23 20:02:10 UTC,en,"Edmonton, AB, Canada"
799669088,"RT @NDP_HQ: Budget 2013 undermines accountability, protects senators http://t.co/DK4JeDRgNu #bdgt13 #NDP #cdnpoli",,2013-03-28 13:52:37 UTC,en,""
25435971,#clcctc13 #NDP will be with the Labour movement to fight the next battle: Rand formula: @ThomasMulcair #CanLab #canpoli,life long learner; political keener; social activist; all-round compassionate person. RTs r FYI. Avitar drawn by my student :) Ed Assist & HomeHardware empl. ,2013-03-23 20:55:18 UTC,en,"Paris, Canada"
326540264,"Oh my watching the British Columbia "" Question Period"" #LiberalParty #NDP 
Screaming  ..oh my! @christyclarkbc #BCLEG",Live South of Boston. I work retail.Like reading the newspaper. Love the Desert south west.I love to travel .,2013-03-19 01:50:03 UTC,en,boston
319742258,"Instead of just helping #CPC insiders, #Budget2013 could deliver real things for real people: http://t.co/AuVQzB1Nsw #NDP #cdnpoli",,2013-03-18 16:55:06 UTC,en,""
54441681,WHY WE SHOULD NOT MERGE ODSP AND ONTARIO WORKS? #Onpoli #OPSEU #Poverty #olp #ndp #pcpo http://t.co/jAe4wOb77O,"Labour, Social Justice, Human Rights Activist.  Executive Board Member for the Ontario Public Service Employees Union. My tweets reflect my own opinions  ",2013-03-17 04:31:48 UTC,en,Eastern Ontario
276595482,@adamgoldenberg Every good idea #LPC implemented came from CCF/#NDP : Employment insurance and Universal healthcare being two examples.,"Député de Vaudreuil-Soulanges. Porte-parole adjoint en matière de ressources naturelles et d'énergie. (Page alimentée, aussi, par @GrenierJ.)",2013-03-15 21:58:50 UTC,en,"St-Lazare, QC"
264364455,"With only days left, #NDP presses for freshwater research station to stay open http://t.co/hhtF7T0MvT.   Support as scientific research!",David Finnis is the #BCNDP Provincial Council delegate for the Penticton NDP Constituency and past president of the @pentictonndp ,2013-03-19 22:29:53 UTC,en,"Summerland, B.C."
34276060,"RT @punditsguide: Deep thought on @ColettoD's Abacus poll: if #NDP is holding steady &amp; #CPC is down while #LPC is up, just who is sp ...","Political naïf, policy wonk, fundraiser, dodgeballer, golfer. #ldnont, @BetterLondon, #lpc, @loranaward.",2013-03-27 05:09:43 UTC,en,"London & Toronto, Canada"
1311844063,RT @KingstonNDP: .@andreahorwath giving a message of greeting to the #ygk #NDP http://t.co/6XyODfFPuX,Proud Team of New Democrats,2013-03-28 23:11:43 UTC,en,""
441973833,RT @DianeOrihel: @nikiashton Yes! Thanks to the #NDP for their efforts to #SaveELA,Views expressed herein are solely mine.   Former Gowling girl/UW Zoology/UM Entomology/DFO/LRSD retired teacher ,2013-03-20 20:35:24 UTC,en,"Winnipeg, Manitoba, Canada"
1102426495,RT @DuckFexter: Forgotten #NDP boo boo's -&gt; Arrogant Premier Dexter refused to meet publicly with CBRM Mayor John Morgan &amp; Media  ...,looking forward to an election year in NS. Let the the best and most intelligent (liberal) person win!,2013-03-24 01:19:58 UTC,en,"herring cove, NS"
560765411,"Instead of just helping #CPC insiders, #Budget2013 could deliver real things for real people: http://t.co/DjaNjQSHI4 #NDP #cdnpoli","Retired high school teacher, music lover/collector (78s to CDs), reader (Canadian lit), admirer of my revolutionary Irish namesake, Robert Emmet. 

 ",2013-03-19 17:03:18 UTC,en,"ANCASTER, ONTARIO, CANADA"
622553460,"No hay memoria donde no aparezcan, ni hay recuerdos en los que no estén #NDP",Amo a pablito villalba con todo mi corazon ♥,2013-03-27 21:57:10 UTC,es,""
347214904,#LPC have every reason to #coop4ca with #NDP and #GPC in next election http://t.co/x2LqX8qfTS #cdnpoli #lpcldr via @leadnowca,"Single Father of 2,work @ Chrysler,CAW local 444 union activist,union awareness instructor",2013-03-27 03:26:09 UTC,en,"Windsor,Ontario,Canada"
271649526,Bon Appetit from @pmharper: http://t.co/Rh8S9gGPke via @youtube #fail #foodsafety #FoodSovereignty #cdnpoli #cpc #lpc #ndp,"A political junkie and activist from Regina. Let's get rid of the SaskParty and fix our province! 
http://www.ryanmei.li
#skbettertogether",2013-03-22 02:40:05 UTC,en,Regina Sk
38499453,"RT @durhamndp: #NDP leader, @ThomasMulcair, presenting flowers to the men's figure skating medal winners at #FSWorlds13 in #LdnOnt. http ...","PR student at MSVU currently and  on 2nd  my co-op term working in non-profit. Lover of all things politics, and musical theatre! My opinions are my own!",2013-03-17 01:49:29 UTC,en,"Halifax, Nova Scotia"
59834690,RT @SusanGapka: Leaders #Liberal @bobraeMP  #Ignatieff #Green @ElizabethMay &amp; #NDP #JackLayton @ThomasMulcair support #C279 #Trans # ...,"#Liberal, #music, #arts, #sports, #love, #culture, #writing, #gemology, #animallover. not buying or selling anything #yoga #humanrights",2013-03-20 15:38:31 UTC,en,Toronto
295529527,@oliviachow It can happen! We all have to believe and make an effort!#NDP'ersknowit!!!,Proud Mom of three grown children! And baby Maks (grandson),2013-03-24 04:36:52 UTC,en,Brampton/Toronto
23916808,RT @TondaMacC: #NDP Mulcair doubts Flaherty will hit his deficit reduction targets; likes boost for FedNor &amp; manufacturing sectors,"Rated ME & Jonni Martinez ENT (J.M.E) - Im a Local DJ, Club/Event Promoter & Business Man. 

JONNI {M}",2013-03-21 20:26:48 UTC,en,Toronto Canada / Quito Ecuador
190240891,"RT @zb_armstrong: #CPC on budget numbers: ""You can't know."" #NDP on budget numbers: ""We don't know."" #LPC on budget numbers: ""Justin Tru ...","Behavioural Therapist. Vancouverite, living in Ontario. Politics, coffee, food, wine, and the finer things in life. #onpoli #ldnont #OLP ",2013-03-19 11:04:43 UTC,en,"London, ON"
188007231,#NDP REALITY CHECK: Peter Penashue - Minister for not being there http://t.co/WDFd71MUVk #cdnpoli,,2013-03-15 18:59:34 UTC,en,""
475390714,Proud of @ThomasMulcair and standing up for what he believes in. #myleader #NDP,"Husband, expecting father, Sens fan, dungeon master, cook",2013-03-19 00:50:53 UTC,en,"ottawa, ontario, canada"
96021381,"RT @NSNDP: Next big #NDP nomination race is in Fairview - Clayton Park, with @AbadKhanNS @SaraEhrhardt &amp; @Stephan2013NDP #nspoli htt ...",In 2009 Nova Scotia was in a mess. Nova Scotia has found its way back. We've accomplished a lot together but more to do. Be a part of it. Lets make life better.,2013-03-24 20:47:40 UTC,en,Sackville
301266288,@punditsguide @HarryBorlase It is interesting that #NDP chose a candidate with no elected experience who has been living outside of Labrador,Family Law Lawyer,2013-03-25 12:13:41 UTC,en,"Los Angeles, California"
944417654,"RT @Melaniedemoor: à #NDP même quand tu vas en cours, ils appellent tes parents pour dire que tu sèches",parce qu'ici c'est Paris ! sisi la famille ;),2013-03-18 15:27:08 UTC,fr,""
308821251,Kathleen Wynne continues same austerity as McGuinty. Ontario #NDP must vote down Liberal budget! #ONpoli #cdnpoli http://t.co/DWQToTxRID,Canadian Marxist publication for labour and youth.  Please visit our website at http://www.marxist.ca.,2013-03-20 15:25:43 UTC,en,""
794758278,"Hi @andreahorwath. Look, even Wynne's site has a plug for you ;)
#ndp 
http://t.co/djeam2MPFL",Proud to be on Kathleen Wynne's website. But I'm really more of an Andrea Horwath/NDP kind of guy. Teacher. OSSTF member. Fighting the good fight!,2013-03-23 01:30:02 UTC,en,Ontario
466603103,"Instead of just helping #CPC insiders, #Budget2013 could deliver real things for real people: http://t.co/cN6c4aRFJs #NDP #cdnpoli",,2013-03-18 19:25:14 UTC,en,Toronto
21039946,Can't wait to see @PeggyNashNDP buy her new pair of shoes. #bettergovernmentbetterstyle #cdnpoli #ndp,"Artist, social democrat, office temp, disliker of many things. Views expressed here reflect the opinions of all my employers, my mother, and the Vatican.",2013-03-20 15:31:16 UTC,en,Toronto and elsewhere
325119794,RT @FinDonnelly: Second hour of #sharkfindb8 just wrapped up in the House. Two days until Parliament votes to make Canada #finfree #ndp  ...,"All about animal rights, tattoos, art, piano, stand up comedy, travel. I dabble at being a Sailor Jerry Promo Rep as well as an alternative model.",2013-03-27 00:45:41 UTC,en,"Vancouver, BC"
21547158,"Six ""ActionPlan"" commercials in 10 minutes. Shouldn't there be a law? #cdnpoIi  #NDP #LPC #CTV #StopTheMadness","Teacher, photographer, futurist, artist, activist, motorcyclist, fan of the technological machine, Citizen13 from Ottawa ON, Canada",2013-03-25 23:37:24 UTC,en,Ottawa
391997276,"@ThomasMulcair Great. While you're at it, can you grow a pair and take on this lunatic @pmharper? #cdnpoli #ndp","Opposed to Harper & #Israel's douchbaggery and crimes against humanity. Engaging in occasional trolling of @Sattva01 (http://t.co/tKVlXhzr1y)...Oh, it's on!",2013-03-18 23:50:36 UTC,en,Toronto
220203225,@BlakeRichardsMP If Mulcair played for team Canada he would be benched for trying to score on his own net. #key #ndp #mulcair,"TriVest provides risk-managed investment solutions for high net-worth private clients, institutional investors, estates and trusts, endowments and foundations.",2013-03-26 23:26:42 UTC,en,Canada
232442911,"RT @hampton_stephen: Here is my @Huffpostcanada debut. 

 Can we afford not to reduce poverty?  http://t.co/tw2SNUj6Fp 

#cdnpoli #NDP # ...",RPI ,2013-03-25 23:26:19 UTC,en,"Troy, NY "
489501722,RT @Apndp: #ndp #nientedipersonale ma quando sento o vedo parlare #Fassina del #Pd mi viene voglia di uscire e invadere la Polonia.,Quo usque tandem abutere Catilina patientia nostra? Quamdiu etiam furor iste tuus nos eludet? Quem ad finem sese effrenata iactabit audacia?,2013-03-24 21:41:36 UTC,it,Roma
399371605,RT @kennedystewart: This is why we need water research from the Experimental Lakes Area: http://t.co/yqH5Ywy9bR - #NDP fighting to save  ...,"Teacher, happily married 36 years, Mom, Anglican Christian, environmentalist, birdwatcher, vegetarian,gardener, love animals,books,music,walking dogs,laughter.",2013-03-20 03:08:21 UTC,en,"Edmonton,Alberta"
67008429,RT @nspector4: #LPCldr race will have fewer eligible voters than #NDP had last year http://t.co/XIW0opvZav,"Attaché de presse du NPD au Qc. Ex-journaliste de Rue Frontenac. Originaire de Sherbrooke, mais habite à Montréal. Curieuse fixation sur les dindes sauvages.",2013-03-22 11:27:46 UTC,fr,Montréal
7950242,RT @Apndp: #ndp #nientedipersonale ma quando sento o vedo parlare #Fassina del #Pd mi viene voglia di uscire e invadere la Polonia.,"Scrivo cose su @linkiesta e @unitaonline, vedo gente, mi muovo, faccio delle cose social. Founder di @Tr3nta_mag, juventino praticante. RT≠endorsement.",2013-03-24 20:30:45 UTC,it,""
389052680,RT @nikiashton: We need real funding for our First Nations schools. New study uncovers a shocking lack: http://t.co/0DJYiYLynD #ndp #cdnpoli,"Community developer, researcher, facilitator, democracy defender, tai chi practitioner living with a beautiful land North of 60. ",2013-03-29 04:25:32 UTC,en,""
161073782,#NDP candidate Matt Toner is giving away #dog jackets as mobile campaign signs in #Vancouver-False Creek. #bcpoli http://t.co/iexLZqJ2BS,I'm a general assignment journo interested  in finding out the things people need to know. ,2013-03-24 18:18:20 UTC,en,"Vancouver, BC"
18464551,RT @Myhasle: @NanaimoDaily Don Olson's letter- First Nations ppl #disgustsme.  #cdnpoli #bcpoli #ndp : http://t.co/zMjGxs58xp … #bcpoli  ...,"Beware i learn from ppl like you ;p
i am a far from = Librium  thermal dynamic 
human being.i often think in music.



",2013-03-28 06:07:20 UTC,en,Squirelville Ontario
517664013,"RT @SettlerColonial: Dear #CPC, #LPC, and #NDP. Can you all just get it over with and merge? Three pro-colonialism parties is two too ma ...","Politically savvy, motherless daughter from Treaty No. 9 territory; Cree/French descent; tweets are my own and re-tweets don't always mean I agree. ",2013-03-20 21:59:33 UTC,en,"Thunder Bay, Ontario, Canada"
84730224,"RT @draymaker: Pat Martin, get over it. #NDP's Jack Layton + Olivia Chow carpet-bombed #LPC-held Parkdale-HiPk B4 2011 elxn http://t.co/ ...",,2013-03-28 16:58:06 UTC,en,""
69637223,"RT @tylercameron: Stonehame Chalets closed, Pictou Lodge in receivership now Linacy Greens Golf Course closing #NDP Tourism plan failing ...","When I leave this world, I'll leave no regrets, Leave something to remember, so they won't forget
I was here",2013-03-15 18:40:56 UTC,en,""
561976679,"RT @Jacanews: #NDP Jim speaks of those who have ""harassed us"" speaks of what NUMSA has raised","Marxist, Molecular Virologist, Curious, Committed",2013-03-19 08:51:20 UTC,en,"Mafikeng, South Africa"
525061568,"RT @FloydShivambu: In light of the fact that #ANC #Zuma said we should choose our words when we critique the #NDP, Let's call it a 'neol ...",,2013-03-28 03:11:44 UTC,en,Buhlebesizwe
619105419,"Instead of just helping #CPC insiders, #Budget2013 could deliver real things for real people: http://t.co/ZQ7WMImMZL #NDP #cdnpoli",,2013-03-18 19:41:19 UTC,en,""
111056608,#NP #FascinadoRmx #NDP - @Magnate_MyV y @Valentino_MyV !!, ♥ @daddy_yankee  ♥ Pertenezco al @dymfcbogota | inspiracion y admiracion @soypaulomix !!  @lqscradio| Futura Contadora :),2013-03-20 02:48:38 UTC,es,bogota
898482366,Liberals have fewer eligible leadership voters than the #NDP had for its leadership contest last year #lpc #lpcldr #nlpoli #nspoli #Labrador,The Liberal Party is only economical with the truth,2013-03-22 13:32:40 UTC,en,""
131527548,A great day for #humanrights. #NDP transgender rights bill passed in the House of Commons. http://t.co/aH43k9EOvS #LGBT,"Entrepreneur, activist, and technologist in Vancouver, BC. Founder of @IONICAinc.",2013-03-21 08:42:07 UTC,en,"Vancouver, BC  Canada"
1146813762,Anyone who has met @HarryBorlase knows that he is Labrador personified! Exciting times ahead! #ndp,"Maritimer, husband, father, labour activists, social gospel adherent, realist
 ",2013-03-27 13:17:18 UTC,en,""
1298749087,"RT @Herbert_Pimlott: As opposed 2 #Harper govt, rightwing #Merkel ally proposes double-digit hike in top #tax rate #NDP #CPC #OWS #cdnpo ...",Какой же русский не любит быстрой езды?,2013-03-25 10:18:12 UTC,en,""
271762869,"RT @uOSFL_EPVuO: @ClaudineJacques I thought you were a fan of democracy? You know, the 'D' in #NDP? #M408 condemns #gendercide - it dese ..."," former liberal, happy to vote Conservative",2013-03-23 12:27:27 UTC,en,""
346389807,@marinacosta7m tienes brackets?! #ndp,¿Quieres saber algo de mi? http://ask.fm/account/wall ¿Quieres ser mi amigo?http://www.facebook.com/paau.arnold,2013-03-23 01:28:49 UTC,es,""
55873451,RT @FinDonnelly: Second hour of #sharkfindb8 just wrapped up in the House. Two days until Parliament votes to make Canada #finfree #ndp  ...,Venezuelan.  Political Science & Economics Student.  Intern at M.P. office. #Kitchissippi Times Writer.   Political Junky.  Tweets are my own. #ottcity #cdnpoli,2013-03-26 21:15:31 UTC,en,Ottawa
16751415,@MeganLeslieMP Saw your comments in HoC today. What do you have to say about NDP role in muzzling MPs ( #NDP &amp; #LPC reps voted w/ #CPC rep)?,"Pro driver, social media consultant; freelance writer; editor and contributor for jamesphieffer.com;  - always looking for new freelance assignments.",2013-03-28 01:42:19 UTC,en,"Napanee, Ontario, Canada"
551934259,"RT @FinDonnelly: @joeoliver1 promised ""world class"" oil spill protection. This is what we got instead: http://t.co/jynFO12xDy #cdnpoli #ndp",Environmentalist with the Stoney Creek Environment Committee,2013-03-22 16:09:10 UTC,en,"Burnaby, BC Canada"
467578012,"RT @kkirkup: #NDP aboriginal critic @JeanCrowder slams government's ""workfare"" program for First Nations, calls it ""insultingly paternal ...",Founder of the Sisters In Spirit Vigils that happen on Oct.4th every year.  https://www.facebook.com/groups/126522944087041/ ,2013-03-22 15:41:48 UTC,en,""
268535351,"RT @kkirkup: #NDP slams the government for failing to address ""specific challenges"" faced by aboriginals through new ""workfare program."" ...",Muskeg Lake Cree Nation,2013-03-21 20:38:51 UTC,en,""
287905776,"Instead of helping #CPC insiders, #Budget2013 could deliver real things for people: http://t.co/nCSZjNaiYh #NDP #cdnpoli","Grade 9 student, interested in Politics and Technology. Supports the NDP, and can't wait untill I get my BlackBerry Z10. ",2013-03-18 20:40:02 UTC,en,""
61011254,"Looks like a ""no news"" budget to me!  Nothing great, nothing awful.  #CPC too proud.  #LPC &amp; #NDP too alarmist. #cdnpoli","Travel west, turn right, you're home! Libertarian, economically conservative, socially liberal, lover of good ideas, believer in realpolitik, student of life.",2013-03-21 22:27:43 UTC,en,Vancouver
175350403,"RT @FloydShivambu: In light of the fact that #ANC #Zuma said we should choose our words when we critique the #NDP, Let's call it a 'neol ...",Science and life are what I am about,2013-03-24 00:42:16 UTC,en,Kempton Park
1000767104,RT @ProfCyr: #Harper perd plus de 10% de son Cabinet pour des raisons d'éthique en 8 mois. Odeurs de fin de règne. #cdnpoli #ndp http:// ...,La liberté n'est pas à vendre: https://www.facebook.com/LaLiberteNestPasAVendre,2013-03-15 23:44:36 UTC,fr,Montreal
62139614,RT @KiavashNajafi: #NDP calls on Harper gov to allow UN rapporteur for indigenous rights to enter Canada http://t.co/ljuRVGVsnF #idlenom ...,"health, sexuality, politics, spirituality. ",2013-03-18 23:53:52 UTC,en,Vancouver
437851552,"RT @nikiashton: Great statement by @RathikaS calling Harper's team out for their sexist agenda, taking women back #ndp #canfem",My family is #1 ~ I love to laugh ~ My spirit name is Hummingbird ~ Bill & Joy's first born of 5 #idlenomore,2013-03-26 18:59:13 UTC,en,"Manitoba, Canada"
334322696,@bcndp Typical NDP:full of demand.absolutely no plan or delivery. #BCLibs lean in 4 BC; #NDP lean out as it is the only direction they know.,"I am the BC Liberal MLA Candidate for the Columbia River Revelstoke riding, a husband, father of three and looking forward to serving as your MLA.",2013-03-15 23:23:24 UTC,en,Fairmont Hot Springs BC
1187549712,RT @Apndp: #ndp #nientedipersonale ma quando sento o vedo parlare #Fassina del #Pd mi viene voglia di uscire e invadere la Polonia.,Problem solver,2013-03-24 20:51:04 UTC,it,roma
1250146741,RT @FAQMP: Join us next Thursday for an interview with #NDP MP Linda Duncan - http://t.co/0qVllIp1cJ @LindaDuncanMP #Edmonton #abpoli,"I am a bot and i will retweet everything tagged with #Edmonton. NOTE: If you do NOT want me retweet you, tweet a status like @edmonton_rt #donotrtme.",2013-03-28 18:45:50 UTC,en,"Edmonton, AB, CA"
48914528,#Ottawa #NDP #Liberal http://t.co/ED5eXzUr0g  #Veolia plans on #stealing and #controlling the #world's #water #supply!!  Stop them  NOW!!!,,2013-03-21 21:01:34 UTC,en,""
468777003,Congrats to @rosellalochirco @hannahzee22  #erica for making varsity😊 #ndp,Its been real✌,2013-03-14 22:19:34 UTC,en,""
28883923,RT @LibbyDavies: And cake too! #C279 passes!  #transrights #transgender #ndp @r_garrison http://t.co/TQVn5PXcDO,Director of Content and Educational Resources for @InterfaithFam. #Canadian in #Brookline. Partner of @BFGtweets. Baby whisperer. Wanderer. Jewish. Queer.,2013-03-21 01:41:45 UTC,en,""
1209167658,"With Flaherty's budget announcement coming March 21st we must rally the women ...or we get the shaft again!
  http://t.co/QFeXU3ZHe6
   #NDP",,2013-03-16 01:25:50 UTC,en,""
949806516,RT @EleanorSibbert: NDP PEI says to table a sensible budget: http://t.co/7MN9R4Na5p #ndppei #ndp #cdnpoli #peipoli,,2013-03-25 19:10:43 UTC,en,""
