id,text,description,time_captured,lang,self-reported location
401651305,Just one! We need just one politician to demand QC #corruption inquiry look in to #Ottawa! #NDP #CPC #LPC I'm calling you out! #cdnpoli,"They promised us order, they promised us peace, and all they demanded in return was our silent, obedient consent. ENOUGH! #ExpectUS! #OpBigBrother #404SE UNITE!",2013-03-17 01:31:33 UTC,en,Canada. Global
948163202,"Canada announces financial aid for Mali but Fantino tells them they ""better clean up the garbage"" #cdnpoli #Haiti #CPC #CPCFail","I ? all forms of experience design, especially restaurants and stand-up comedy",2013-03-15 00:11:00 UTC,en,Tracy Ca
147934725,RT @midwifek: Now @ThomasMulcair discussing how #LPC and #CPC stripped out EI to fund corporate tax breaks.  Balancing books on the back ...,"Shit disturber; gossiper; general ne'er do well! I drive a red neck truck and live on the south mtn.
",2013-03-16 19:08:33 UTC,en,Annapolis Royal
15031337,"#winning - ""The #lpc raised $600,000 amount through 2635 donations-more than the NDP’s 2206 and the #cpc’s 1142"" http://t.co/AKjmadqo5F","Digital strategist, PR, campaigns, technology enthusiast, and coffee lover. Interested in intersection of politics, tech and social media",2013-03-18 13:31:26 UTC,en,"Toronto, Ontario"
189619402,Halifax rapper has called out the man at the top: stephen harper. http://t.co/X186T7nyHl #cdnpoli #cpc #lpc #ndp,"Creator/ Owner of Zaphod Beeblebrox. Ottawa's legendary live music venue, dance and booze boutique.",2013-03-25 01:37:11 UTC,en,"Ottawa, Canada."
37827784,#FREE Webinar tomorrow  Get rid of paper and get @intelicode. #medicalcoders #Auditors #cpc #icd10 Find out more at http://t.co/ud6Kubi1Vp,Intelicode® is a E&M auditing computer program that helps to ensure that your E&M codes are documented correctly. http://intelicode.com,2013-03-19 14:21:12 UTC,en,http://intelicode.com 
38038939,“@Crockatteer: #NDP Sask Leader Cam Broten breaks with Mulcair 2 support Keystone #cdnpoIi #cpc @OilGasCanada #ableg http://t.co/ToTZDyjaLT”,"Third generation Calgarian, background in oil & gas capital markets. Participated in numerous political campaigns. My views are my own but not always right ;-)",2013-03-15 14:49:20 UTC,en,"Calgary, Alberta"
20508681,"#cpc voting vs science caps epic muzzling week. Like, ""why didn't we think of this before? We can make reality STFU!"" http://t.co/EigkxsSKYk","I work & tweet @oxygensmith & for the #yeg collective @thoughtcrimeink, do web dev for @albertandp, & use ExpressionEngine (#eecms) for development.",2013-03-22 07:53:57 UTC,en,Saskatoon
36128402,"RT @Wanuskewin_FLA: @BobRaeMP says the #CPC #2013Budget is the new Economic (In)Action Plan for families, youth: http://t.co/3Pai6CJTPe  ...","I am a crafty straddler of Business & Creative. Photographer at heart, crushing on all things google.  Life long learner, 2011 Federal Liberal Candidate.",2013-03-21 21:49:57 UTC,en,Vancouver
266237186,YA!#coop4ca is happening - #GPC won't run in Labrador so #LPC can defeat #CPC http://t.co/5eeMsUfXYx #lpcldr #lpcdb8 #cdnpoli via @leadnowca,"An EcoDiva powerhouse tripping the planetary stage fantastic with glamour & environmentalism, cabaret-style. Meta Eco-Infotainment, Queen of Green with a voice.",2013-03-24 20:41:09 UTC,en,Canada
32138687,RT @joycemurray: Hard to understand Y 137 #CPC MPs are against protecting #trans gendered Canadians from discrimination #lpcldr  http:// ...,theatre person/best rapper alive. Assistant Producer @ottawafringe. Shawarma connoisseur. In Absurd Person Singular at The Gladstone Mar. 6-23. ,2013-03-21 14:06:24 UTC,en,Ottawa
158852785,"Ethnic cleansing of Muslims in #Burma, just months after #CPC’s John Baird opens trade talks: http://t.co/9iHB9Wcffj #cdnpoli #RohingyaNow","Member of Canadian Autoworkers Local 567, staff for CUPE 4600, fan of lefty sic fi, anarchist",2013-03-24 22:11:40 UTC,en,"Ottawa, Ontario"
14884259,"RT @davidakin: Also: Previous #LPC govt (Martin, Manley, Goodale Fin Mins) set fiscal stage that allowed #CPC govt to get thru recession.","Teacher-Librarian. On Twitter for conversations about education, economics and politics.",2013-03-20 02:14:38 UTC,en,"Stratford, Ontario"
28429319,"RT @joycemurray: Here's a pretty good account of my proposal 2 defeat the #CPC by #cooperation to avoid vote-splitting, for those who ha ...",love-respect-earth-connection-wisdom-responsibility-laughter-organics-metaphysics-media literacy-music-ethics-images-politics-acting ,2013-03-20 20:51:24 UTC,en,Vancouver
161783335,RT @RealMattHopkins: @Newswriter22 At issue is this #CPC MP's desire to roll back progress on efforts to protect #LGBT kids in schools.  ...,"A journalist who will follow people who actually put thought into what they write, sing, say or create. Tweets do not reflect views of London Community News.",2013-03-15 18:53:13 UTC,en,"London, Ontario, Canada"
352091107,RT @46nd2: How much of OUR money did the #CPC flush on SuperBowl ads? Harper says none of your business! #cdnpoli,"Artist,Merchandise Designer, Comrade of the Atheist Movement",2013-03-28 18:22:18 UTC,en,""
374864512,"RT @laurinliu: Parce qu'une image vaut mille mots... ""@kennedystewart: This pic tells you about value #CPC places on science http://t.co ...","Historien du sport, chargé de cours UQAM et McGill",2013-03-22 17:51:49 UTC,fr,Deux-Montagnes
258135801,Remember when the #CPC spent more on advertising the Economic Action Plan than on gender equality? Yup. That happened http://t.co/3EZvDvda3J,"Feminist buzzkill, bilingue, activist, chronically ill. Lover of UFC, VWs, fashion and rabble rousing. My voice is my weapon of choice. ",2013-03-21 20:13:05 UTC,en,Ottawa
275038599,RT @3mendous: @Bergg69 The obscenity of those whose opium is power for its own sake. #CPC,"Deeply concerned about the vulnerability of the biosphere, the erosion of our democratic federal institutions, and the frightening  power of corporations",2013-03-25 12:46:59 UTC,en,Somewhere in the Galaxy
1298566278,RT @althiaraj: ON The Blogs: @ElizabethMay takes apart #CPC spin around new tanker and pipeline safety standards http://t.co/MNLCZj2hay  ...,,2013-03-25 09:35:17 UTC,en,""
470696857,"RT @HeartAGlow: @trapdinawrpool It is beyond shameful- buying 'ethnic' votes and yes, designed by same ppl. #BCLib #TOCPC #cpc #bedfello ...","Left and Centre; depending on how I feel on what day.
Nice to meet you.",2013-03-15 23:28:34 UTC,en,"British Columbia, Canada"
517877177,"RT @DFinanciero: #CPC y #CUT ratifican ""acuerdo de voluntades"" y esperan que el gobierno lo tome en cuenta http://t.co/V9854xWcnU","Seguimos de cerca la realidad laboral: noticias sobre sindicatos y temáticas laborales, además de estudios. Compártenos la información de tu sindicato.",2013-03-27 15:35:48 UTC,es,"Santiago, Chile"
110587321,RT @bearclannation: We need to all be #idlenomore »Canada: #CPC &amp; Prime Minister Harper Launches First Nations “Termination Plan” ht ...,Tweets connected to NMSU Women's Studies Program and of interest for Women's/Gender Studies. Brought to you by Dr. Jonet ,2013-03-18 07:03:20 UTC,en,"NMSU-Las Cruces, NM"
127895254,RT @PeterHfx huh? why would #cpc vote down a motion to stop shark finning? Did they think it was really about them? #cdnpoli,"I am active ocean conservation campaigner and supporter of democracy movement in my country Belarus. If the oceans go, we all do.",2013-03-27 23:40:01 UTC,en,"Minsk, Belarus"
919815234,@FrahmBahmb @poppen_fresh @miiilk24 @warychaholic we gotta maintain that chillness per capita somehow #cpc,,2013-03-19 04:29:24 UTC,en,""
787861291,RT @HedyFry: Welcome to a secretive #CPC gvt that keeps civil soc &amp; parl in dark! Et lentement la democracie mort! http://t.co/9LdZe ...,New Media Consultant ,2013-03-19 23:07:12 UTC,en,Canada
287260619,@Canuckism101 Just imagine if 74 #CPC MP's were members of some world right wing organization? #headlines #protests #petitions,a blue Albertan (what other kind is there)! Proud DE-NIER. Proud WRP supporter. Proud Conservative. I can't stand Bat Shit Crazy! ,2013-03-19 13:00:27 UTC,en,Southern Alberta
14231419,"RT @davidakin: Since #CPC elected in 2006: Population up 2.5 million or 9.8% | Employment up 1.5 m or 8.4% | unemployed: +186,100 or +16 ...","You likely know me from the things I do around Canadian politics - regular on CBC's Power & Politics, sorta etc. Sorry for the baseball tweets in advance.",2013-03-20 12:29:36 UTC,en,Toronto
256099934,"I am! RT @Crockatteer RT if you are registered for #CPC13 in #yyc. If not, register at http://t.co/42I6evR2xX 100 days to go #yyccentre #cpc",Show up. Shine. Let it go. ,2013-03-19 05:09:42 UTC,en,Calgary
40550119,"RT @davidakin: Also: Previous #LPC govt (Martin, Manley, Goodale Fin Mins) set fiscal stage that allowed #CPC govt to get thru recession.","M.D.,Liberal M.P. St. Paul's,
Critic for Aboriginal Affairs and Northern Development;Chair, Liberal Women's Caucus; former Minister of State (Public Health)",2013-03-20 02:01:31 UTC,en," Toronto, Canada"
18584466,"RT @KiavashNajafi: Turkey's ambassador to Canada described #CPC's line on Syrian refugees as ""a misrepresentation."" #cdnpoIi","I'm a writer who lives in Ottawa, Canada (for now).

I write fiction, but I feel very much planted in the world as it is.",2013-03-20 19:00:20 UTC,en,"Ottawa, ON Canada"
18929837,I don't know who has the better chance #greenparty or #ndp I only know this is how the #cpc will maintain power. http://t.co/Z80bSTKMPV,Why I oughta...  ,2013-03-25 00:53:56 UTC,en,"Calgary, Canada"
239378797,"#CPC should change their name to the ""Grade 2 excuses party"" and we can just call them G2 #cdnpoli",Prick. Left leaning. Hate political correctness. I will insult you. I don't force you to read my tweets. I fight back. I swear. I say inappropriate shit.,2013-03-16 18:08:33 UTC,en,"Moncton, NB Canada"
442383920,"RT @cdnpoli_Jav: Peter Penashue campaign took in 28 ineligible contributions
http://t.co/Vlug2TMwtX #cdnpoli #canpoli #idlenomore #CPC = ...","We are Anons, Original Media/Press/PR Team from Occupy Toronto, and Media Wrench as affinity group. Revolution will ensue. We are the 99% #expectus",2013-03-17 19:58:31 UTC,en,"Toronto, CA"
16727909,"Instead of just helping #CPC insiders, #Budget2013 could deliver real things for real people: http://t.co/mmYGv1Mn8P #NDP #cdnpoli",,2013-03-22 02:50:20 UTC,en,"Winnipeg, MB, Canada"
36395646,"RT @SettlerColonial: Dear #CPC, #LPC, and #NDP. Can you all just get it over with and merge? Three pro-colonialism parties is two too ma ...",Mi'kmaw Citizen/ Lawyer/Professor/Mom/Sister/Auntie and member of Eel River Bar First Nation - retweets do not mean I agree w content,2013-03-20 22:09:23 UTC,en,"Toronto, ON"
18975909,¿Cómo sabemos si una palabra clave acabará siendo rentable a largo plazo? http://t.co/Vpqf6YYPCt por @desmarkt #ppc #cpc,Experto en marketing online y apasionado de la analítica web.  Trabajo en @SAEmpleo y doy clases en @SmmUs y @cursoCMsevilla. Organizador del #CTSev,2013-03-19 14:00:24 UTC,es,Sevilla
861645158,#CPA #CPL #CPC #CPM Alternativas a Adsense : Clicksor http://t.co/USeGm0m4lx #Webmaster #Adsense,,2013-03-15 00:44:19 UTC,es,""
1187048804,お尻でエッチしたいの ~実践から学ぶアナルセックス入門~ (SANWA MOOK) http://t.co/JBqjwLXlZa #amazon #アダルト #エロ #xxx #cpc,"気持ちいいことしたいなぁ
相互フォローしましょう！",2013-03-26 21:45:22 UTC,en,""
16795670,"RT @Bergg69: "" The Sequester and the Tea Party Plot"" http://t.co/1ny5Ln7cTy #cdnpoli #uspoli #CPC #LIB #NDP",retired dual American/Canadian citizen(one of the takers,2013-03-19 23:41:06 UTC,en,"Ontario,Canada"
67486555,#thatTruthfulNosense #factsarefacts #CPC #OPD #ouch #thatstough #yikes #emailsfromMywork #whileatwork… http://t.co/LkLXpaDfiS,Just Work & Sometimes Play!,2013-03-26 06:59:26 UTC,en,CA USA 93030
178287743,"#CdnPoli #CPC #bdgt2013 @Jim_Flaherty .
Related news item:... http://t.co/HHuYA7POQz","Bruce MacKinnon is the editorial cartoonist for the Halifax Chronicle-Herald. His latest book, PENetration, marks his 25th year with the Herald.",2013-03-17 11:55:57 UTC,en,"Halifax, Nova Scotia"
875907876,"@RitchieTrev For your info, #CPC is a federal party.  Do you mean #BCCP perhaps? Oh, and you know what they say about statistics...","Authorized by Julie Pilon, financial agent for Scott Anderson, 250 547 6668",2013-03-28 21:22:08 UTC,en,""
255124676,RT @richardlevangie: Canada's #CPC government has wasted half a billion of taxpayer money on propaganda since taking office. http://t.co ...,"Passionate about financial advice, wealth preservation & estate planning. A lover of all things culinary. A dedicated runner, yogi, philosopher, problem solver.",2013-03-17 18:25:03 UTC,en,Ottawa
59767832,"Instead of just helping #CPC insiders, #Budget2013 could deliver real things for real people: http://t.co/V6YIyla6Hn #NDP #cdnpoli",,2013-03-18 21:53:29 UTC,en,""
32485442,RT @kennedystewart: Asked Min. Goodyear why #CPC defeated my motion to protect science. He thought the question wasn't worth answering:  ...,"Student by day, bioinformatician by night.",2013-03-21 20:35:18 UTC,en,Ontario
245660950,RT @speakup4sci: Oilsands study shows why #CPC wants to kill Experimental Lakes Area http://t.co/L0ZBu6G9Jw #cdnpoli #ELA @SaveTheELA vi ...,"Duct tape and post-industrial artist by trade, with a geography/bio degree to take home to mom. Oh, I'm pretty good in the wild too.",2013-03-18 12:31:41 UTC,en,"Winnipeg, Manitoba"
266987043,"@trapdinawrpool It is beyond shameful- buying 'ethnic' votes and yes, designed by same ppl. #BCLib #TOCPC #cpc #bedfellows #cdnpoli","Helping your holiday dreams come true
 #vancouverisland  #OBMG  ~#hashtags are a girl's best friend~ 
#sm #cdnpoli #poetry




      ",2013-03-15 08:11:11 UTC,en,"Victoria, BC"
319746362,RT @TeamJPJT: #CPC can no longer pretend there is a choice to be made between the economy and the environment. #lpcldr #lpcdb8,,2013-03-23 19:33:33 UTC,en,""
711063583,RT @midwifek: Now @ThomasMulcair discussing how #LPC and #CPC stripped out EI to fund corporate tax breaks.  Balancing books on the back ...,tweeting information for and on behalf of New Democrats in London Ontario.,2013-03-16 18:44:05 UTC,en,""
1001077782,RT @jinnysims: Shame. #CPC has turned its back on the real challenges facing First Nations in #bdg13: http://t.co/l3SC8bZNS5 #ndp #cdnpo ...,OVERLORD,2013-03-26 01:39:46 UTC,en,Venice Beach CA
63258578,RT @winterthur: #mediawhores are everywhere. Like one journalist for every 15 attendees  #CPC $#GOP4Sale http://t.co/CBrBqqoaBa,"Experience demands that man is only animal which devours his own kind, for I can apply no milder term to the general prey of the rich on the poor. -T. JEFFERSON",2013-03-14 23:18:41 UTC,en,NYC
535486548,So apparently I missed some #CPC action this aft...,Back by popular demand...,2013-03-14 19:56:44 UTC,en,""
296350580,"Vote online everyday for #NDP's @findonnelly, #CPC's @TerenceYoungMP, or #LPC's Judy Foote: http://t.co/aVUk3i2TZq",award winning investigative journalist producing current affairs and documentary programs at ichannel. ,2013-03-15 12:15:33 UTC,en,Toronto Ontario Canada 
382516525,Glad to see some #CPC members voting in favor of #C279. Not surprised however that Diane Finley is voting against it. #cdnpoli #HaldNor,FEDERAL Vice President Haldimand-Norfolk NDP Riding Association,2013-03-20 22:43:01 UTC,en,Haldimand-Norfolk
19918228,"RT @naterotman: @ThomasMulcair ""the #cpc economic model is failing, through the ndp and labour we will make it better"" #clcctc13","displaced newfoundlander. Some time political commentator, director of pubpol/commns, political junkie. Views are my own. ",2013-03-23 20:52:55 UTC,en,Toronto
14819714,"RT @FletJan: Harper/CPC list of scandals: 2006-2011
http://t.co/QiqSVNfiSg
#harper #CPC #scandal #cdnpoli #democracy #transparency","Mom, Nana & Atheist who embraces reason, compassion & tolerance, whilst sharing the trait of curiosity with my Beagle.",2013-03-15 11:29:13 UTC,en,Worst Case Ontario
379869808,"RT @LukeAFBradley: Stephen Harper has a cat named 'Gypsy.' Sometimes, irony can be so goddam adorable... #cpc #cdnpoli","Hail from Saskatoon.  Tweets will generally be about music, LFC, politics, travel, and good TV.",2013-03-21 07:17:47 UTC,en,""
92607766,"RT @gmbutts: ""Once you start picking on librarians and archivists, it's pretty sad..."" #canpoli #cpc #bully http://t.co/XqeD7fsmbR via @ ...","Criminologist, educator, and author. 

Twitter motto: Read, Learn, & Share. 

Occasional rants.

For more on recent projects see:
http://www.cjld.org",2013-03-16 20:59:17 UTC,en, Washington DC
46851659,There was a time when the #CPC seemed as pationate about democracy as @ElizabethMay http://t.co/glnsgmUpOD How things have changed #cdnpoli,"Drupal web developer, system administrator, political junky,and rabid cyclist.",2013-03-28 19:33:07 UTC,en,"Vancouver, BC"
214164173,"""Prochoice"" Bklyn @jlalondecomedy  challenged bigoted TN Sen Stacy Campfield to debate - &amp; chose a #CPC to benefit. http://t.co/8A1uFl2RJL","Family doctor, abortion provider, feminist, city dweller, treehugger. See Jane tweet. ",2013-03-21 13:06:12 UTC,en,"Chicago, IL"
1270694791,@bobraeMP ha!!! But I was under the impression that the #CPC was entirely transparent. Proroguing Parliament is done for transparency right?,modern political philosophy,2013-03-20 14:54:05 UTC,en,"Ottawa, Canada"
716501756,"RT @punditsguide: Update from #CPC on Labrador / Penuashue via @kady. And not a very subtle statement from them, either: 
http://t.co/o9 ...",Sunny disposition ☀• Curious• Polyglot • Q? Just ask! Favourite ♬ : James Taylor & One Republic ↪ No closed/egg accounts • Allergic 2 posers + chronic liars,2013-03-14 23:12:00 UTC,en,"Ottawa, Capital City of Canada"
395853126,"RT""@ClaudineJacques: I love how #M408 divides the right!! Keep going. This can only hurt the #CPC.""","In love with my Husband of 19 yrs, legal since 05, free thinker, good deeds are untold, EQUALITY for ALL, HATE is EASY, BE MORE",2013-03-23 14:34:35 UTC,en,Canada
30006281,RT @MichelleRempel: Welcome @ScottTannas to #CPC alberta caucus.,Conservative Political Consultant and Organizer,2013-03-25 19:57:58 UTC,en,Canada
63198527,RT @Beari8it: anti-abortion MP gets shouted down by protesters at University of Waterloo - http://t.co/J6owflBnzS #cdnpoli #CPC #Wimps,"Architectural Historian, Stonemason, Political Junkie, Avid Coffee Drinker, Opinionated. Landlord to Fraggles. High Priestess of the Venerable Potato",2013-03-17 14:18:57 UTC,en,"Eastern Ontario, Canada"
703965512,"""@good_robyn: @Sultan_Sadat I note #cpc took 13/14 Sask federal seats   #skpoli"" @electioncanada first robocall charge coming #steveincuffs",Figured out long ago to support provincial NDP as Sask Party is nothing more than lies spin and rah rah wrapped up in 4000 dollar glasses. Fed-GO LIBERAL!,2013-03-14 23:15:19 UTC,en,""
20530732,Conservative scandals could overshadow budget in House this week http://t.co/OT3VX21TGy #cpc #cdnpoli,"Blogger, poker player, political junkie. Small 'c' conservative, big 'L' Liberal. I'm a @Prog_Blog mod. #LPC #OLP #cdnpoli #onpoli #topoli",2013-03-17 14:17:54 UTC,en,"Toronto, Ontario"
131171499,"RT @beisan: For the first time, #CPC ministers are losing their jobs for messing up. So FYI @pmharper, I'm still angry about the Legacy  ...",Nobody important.,2013-03-14 21:04:12 UTC,en,Ottawa ON
331666614,RT @fsorbara: Very glad @joycemurray is a lib. mp and running for #lpcldr #lpc she must scare the crap out of the #ndp #cpc. Great team  ...,"#LPC political activist, UofT graduate, Toronto resident, Canadian, and reality television junkie. Views are my own.",2013-03-23 17:52:52 UTC,en,"Toronto, Canada"
563849409,"SURPRISE @BlocQuebecois hates #budget, like @liberal_party+@NDP_HQ+@CanadianGreens. #CPC super pumped. Well, back to bed, then. #CDNPOLI","I dunno, whatever.",2013-03-21 20:50:37 UTC,en,Montreal
1076711600,"Company profile CPC INGENIERIA CIVIL, S.A DE C.V. - http://t.co/Ia8BWb0rO9  #CPC #INGENIERIA #CIVIL, #S.A #DE #C.V.",,2013-03-22 06:35:54 UTC,cs,""
35302544,"So many options to choose from, Coercion, Corruption Carbon or Crony  Party of Canada.   There are many more to be discovered. #CPC #CDNPOLI",Far more Sarcastic than Sexy.....,2013-03-18 19:15:06 UTC,en,Ontario Canada
45129106,#CFOAB Relatório final do novo #CPC será lido no dia 17 de abril http://t.co/wUiT1Kq9zl - Veja o texto preliminar: http://t.co/y2v8RcYo9w,Gestão Jurídica e Administrativa - Serviços Integrados - contato@sijaf.net,2013-03-23 12:01:20 UTC,pt,Brasil
15728569,do you love online #marketing campaigns &amp; #highered? we're hiring! Digital Marketing Coordinator http://t.co/UhiJzE7jHX  #jobs #cpc #cpm,"We partner with top-tier universities to deliver rigorous, selective graduate master degrees and undergraduate (@SemesterOnline) for-credit programs online.",2013-03-20 22:13:00 UTC,en,"Landover, MD"
16676172,"@acoyne: Jim Flaherty adds $150B to national mortgage, then lectures on evils of too much debt http://t.co/Wbg0I3jiJF #cdnpoli #cpc",Proud Canadian. A senior @pmharper Minister once called me a Jackass. Scarborough raised.,2013-03-21 01:15:44 UTC,en,"Toronto , CA//Gold Coast, AUS"
465446391,RT @Sultan_H_Z: #cpp #cpc #cdpne #cpc13 http://t.co/lLWq7ZA3g9,Majoring Criminal Justice... For now  @ #Aramco | CPP'¹³,2013-03-17 16:12:24 UTC,en,"Al Khobar, Saudi Arabia‏"
413381411,Ugh this is soo hard #cpc #healthscience or #leadership??? #Help #muchneeded,,2013-03-20 18:51:42 UTC,en,""
201785220,"RT @G_Soule: 1 more time: The ""inexperienced volunteer"". (Official agent) was appointed by the #CPC to a 6 figure job. #cdnpoIi","Apparatchik, Expos fan, music geek, 'Pegger, daddy, food enthusiast",2013-03-14 23:05:39 UTC,en,'Peg City
397543166,RT @meredth_seymour: @emariegriffin @jamessealesmith @jragland96 @mcelroyty #chacoswag #youthsunday #CPC #roblookalike http://t.co/cmwYm ...,,2013-03-17 15:22:05 UTC,en,""
558827088,"@AndersonforMLA @CarlSchultz2 @StrategicThghts  #CPC government is counting on ""faster growth"" after 2013, why not #BCCP? #bcpoli","BC Conservative Candidate #Kelowna #bccp. Business, Social & Healthcare. Watch http://t.co/ZZ0rrK7b94 Authorized by Terry Prechel, finance agent (778)753-0050",2013-03-26 16:07:00 UTC,en,"ÜT: 49.8518312,-119.408462"
99116591,@Mark__Bright Indeed! I hope 'on loan' @wilfriedzaha provides the goals and assists to that take #CPC home to the PremierLeague #southlondon,"From the streets of SE15 to the www: civic leader, corp. suit, sports fan, politics junky, agent provocateur and creative thinker, trying to make a difference.",2013-03-22 08:28:20 UTC,en,"LDN, Int'l, and Old Trafford"
229067990,RT @life_lite: #Shame: #CPC cheered as they defeated the motion to unmuzzle #Science. http://t.co/y7oVFgtek4 #cdnpoli #NDP,"Developer, baker, enthusiastic amateur photographer, soulless ginger, fumbler of guitar strings",2013-03-24 20:36:29 UTC,en,""
1228713486,"RT @EthanCoxMtl: Could Charest replace Harper as leader of #CPC when he leaves? I say yes, in my latest for @rabbleca http://t.co/gktpfe ...","Enseignante au  primaire. Mère de 3 enfants. Fait du théâtre amateur.  Possède 3 chats, un chien et  une chèvre. Voilà, c'est tout!
",2013-03-19 00:46:39 UTC,fr,"Latulipe, Témiscamingue"
44238517,"RT @DrJaneChi: ""Prochoice"" Bklyn @jlalondecomedy  challenged bigoted TN Sen Stacy Campfield to debate - &amp; chose a #CPC to benefit. h ...","@NYAAF board member, budding researcher, pitbull rescue evangelist. I talk about abortion all day every day. Views are my own. ",2013-03-21 13:10:32 UTC,en,"Brooklyn, NY"
460413702,#CPC has raised taxes RT @aaronwherry: And yet... http://t.co/MIxrjgzR2y #cdnpoli,,2013-03-15 17:38:46 UTC,en,""
336185834,"RT @irenemathyssen: #CPC votes down evidence based policy making. Explains why experts ignored &amp; #seniors suffer #OAS cuts, told to  ...",London West 2011 NDP Provincial Candidate,2013-03-20 22:48:52 UTC,en,"London, ON"
21349417,RT @speakup4sci: Oilsands study shows why #CPC wants to kill Experimental Lakes Area http://t.co/L0ZBu6G9Jw #cdnpoli #ELA @SaveTheELA vi ...,art and politics,2013-03-18 11:51:51 UTC,en,Canada
80063918,RT @poormansmedia: RMR: Rick's Rant - Action Plan Again http://t.co/uU0WXJKGHv #HarperGov #HarperSpending #propaganda #CPC #fantasy #cdnpoli,"I'm a Truck Driver, Runner, and Blogger. Most importantly I'm a Husband, Father & Grandad aspiring to be happy, healthy, and to be helpful without doing harm.",2013-03-20 15:56:33 UTC,en,"London, Ontario"
394838420,"@kady @cclar104 @glen_mcgregor More friendly to #cpc than media, but honestly, anyone who uses #eap13 is on the gov't payroll. #bdgt13","Computer Systems, Networking, and Servers",2013-03-21 13:48:25 UTC,en,"Delisle, SK"
61213720,"RT @kayvee1000: @ToewsVic Why would you *refuse"" to meet Victor Malarek with #W5 about Convicted #Pedophiles?? #cdnpoli #lpc #ndp #cpc",W5 is Canada’s most-watched current affairs and documentary program. Tackling major stories and investigations W5 is in its 47th season.,2013-03-16 23:37:23 UTC,en,Canada
18709858,This new Epp project that we finished last night is the best thing I've been apart of. #CPC coming soon,Fake It 'Til You Make It -PRODUCER- Contact: MAIL@LAWZSPOKEN.COM #GreenTeamOfficial,2013-03-21 14:47:02 UTC,en,"TRON, OR"
22166737,"Instead of just helping #CPC insiders, #Budget2013 MUST deliver real things for the Canadian people.  It's our tax money afterall: #cdnpoli",,2013-03-19 02:38:29 UTC,en,""
