id,bio,latest_tweet_text
1020248611,,"#CPC you keep asking me for $ , i will not forget you once you remember me! Keep promises to gun owners   and  the wallet opens not before."
14678965,"Started from the bottom (Y)
#nikandjayjunkie #ovo #drizzydrake",Roaaadtriip - CPH #CPC http://t.co/q6Ts1CXAG5
192302852,,RT @LakeBass: Way to go Greg Weston for calling a spade a spade... the #CPC committed a strategic nationwide election fraud in 2011. #cd ...
59767832,,"Instead of just helping #CPC insiders, #Budget2013 could deliver real things for real people: http://t.co/V6YIyla6Hn #NDP #cdnpoli"
562628806,Go big or go home!,"When the pigs tryin to git atchu, park it like its hot, park it like its hot, park it like its hot #CpC"
9697172,,Natalie Maines singing Mother again - but this time I'm wondering how often Pink Floyd is played in a church?  #cpc http://t.co/suld7559In
824473112,The only way to deal with an unfree world is to become so absolutely free that your very existence is an act of rebellion #AnonymousFreeAnons#Gambino#FreeAgent,RT @Smoker420Kush: #Canada Protests @pmharper and the #CPC April 6/13 http://t.co/2dS0g9usE4 #CdnPoli  #OccupyCanada #OpFuckHarper #A6 S ...
1276460149,,This is just getting CRAZY!!! #scumbagsteve #CPC @pmharper http://t.co/rjmxdb18xp via @georgiastraight
989666251,,@TheTyee oil tanker ran aground on way to @joeoliver1 #CPC #tanker PR event http://t.co/KTIOJLpDQQ #notankers
29024261,"born in Calgary, raised in Richmond Hill, Aurora ON & Rochester MN. McGill, UBC, Vancouver, Whistler. http://t.co/1rqzG9MvBX my dad made the first spreadsheet:",#lpcldr #cdnpoli #ottawa #publicrelations #research #cpc Gagging Canadian Scientists | VICE Canada http://t.co/Cr4JQBDlt4 via @VICECANADA
63674633, ^^^^^ Angry teen-ager.....fuck wait....im not even a teenager...sigh... #KCOB ,"F? 419? (._. Lol I c wathu did dere... ""@Miss_bust_it: F419 #CPC -_______- RT @DelisNACKandRUN: Sigh....skool 2moro morning....lol .@Siji_X"""
747000386,"Recruitment, but not as you know it!!!",CPC Deadline getting closer! Get your drivers sorted! Call us on 01207 502138 #CPC #Getitdone #2014
985409348,,Vfq#nixld  png#aji#Cpc
1268953286,,"Instead of just helping #CPC insiders, #Budget2013 could deliver real things for real people: http://t.co/I4ZbQrvso7 #NDP #cdnpoli"
1255891004,,Protect our women and girls from predators - Stop the Gender/Bathroom Bill C279 #cdnpoli #cpc @familyaction http://t.co/tja1Hku8lC
1251825284,,Onderweg naar Cloud Partner Community dag #cloud #cpc #msft 100 partners verwelkomen
273283728,,RT @jinnysims: So crime is down...but crime spending is up. Is this the #CPC fiscal management we hear so much about? #cdnpoli #NDP #PBO ...
1284971173,Social Media outlet for the Elmwood-Transcona Conservative EDA,Please see our upcoming events on http://t.co/OttIAzeA5w #cpc #mbpoli very excited to have Senator Enverga coming to visit
622525029,"His Knerdship, Lord of Knerdalot; Captain, Knerds of the Round Table. Wields the sword Geexcalibur (Valyrian Steel). Horse: Shadowfire. Tolkien be with you.","RT @Mental_Radio: Ethnic cleansing of Muslims in #Burma, just months after #CPC’s John Baird opens trade talks: http://t.co/9iHB9Wcffj # ..."
1298696424,"Мужчина должен помочь женщине быть слабой, сильной она может быть и без него.","RT @Herbert_Pimlott: As opposed 2 #Harper govt, rightwing #Merkel ally proposes double-digit hike in top #tax rate #NDP #CPC #OWS #cdnpo ..."
1298749087,Какой же русский не любит быстрой езды?,"RT @Herbert_Pimlott: As opposed 2 #Harper govt, rightwing #Merkel ally proposes double-digit hike in top #tax rate #NDP #CPC #OWS #cdnpo ..."
1298733192,"Если ты хочешь, чтобы кто-то остался в твоей жизни, никогда не относись к нему равнодушно!",RT @Beari8it: Conservative Ad Scam .... over Half a billion up in smoke on action plan ads  Could have been better spent. #cdnpoli #CPC  ...
10151752,,"RT @Sattva01: Google ""Whorehouse NPD"" and Jack Layton fills the page. #tocouncil #toronto #canpoli #onpoli #pcpo #cpc #ondp #olp #cdnpol ..."
350305569,,RT @Dan_Man_10: S/O to all my Clough Pike Cougars out there tho. #CPC
559466563,,#cpc crook @peterpenashue has stepped down from the corrupt gov’t of @pmharper. Just another dishonest CPC MP in a line of many #CdnPoli
68274372,,"RT @jacklayton: -@pmharper, appointing your failed #CPC candidates to the Senate is not the kind of job creation strategy Canadians had  ..."
517905077,"husband, father, self employed professional, conscientious purebred labrador retriever breeder",RT @Beari8it: @PMHarper the pope resigned .. you can do it too! #cdnpoli #CPC #roft
84207565,"I am a born and raised Saskatchewan farm boy. Redneck is the best word to describe me. I hunt, fish and own guns. I'm a conservationist, and conservative.",RT @AlbertaGrl: Dear #MediaParty -  ask yourself how you would report this if ANY #CPC tweeted this &gt;&gt;&gt;&gt; http://t.co/MhnaYyj ...
608835608,Former freelancer|Enjoys whacking Corp-ulent Earth Plunderers with purple umbrella; retro E.African WhenWee & RK9 'Outraged' now chasing Elephant assassins...,"RT @nikkiskuce: Harper Gov't not representative of most Cdns. Good to see ""#CPC slide in the polls is worse than usual"" http://t.co/GcFx ..."
422773751,An Albertan who values the environment more than the tar sands.,"RT @stephenlautens: #CPC's taking us back to the future MT: ""@Min_Reyes Canada drops off list of 10 most developed countries http://t.co ..."
302418309,,#DenounceHarper La ministre Findlay visite les installations o? les fonds investis dans l??quipe... http://t.co/sNONSZggCL #UN #CPC #npd
322089533,"#FAQMP is an interactive political talk show. Visit our website to watch interviews, vote for future guests, and submit your own questions.",Which MP are we interviewing next? Check out the schedule:http://t.co/eUMzTB7elb #lpc #ndp #cpc #cdnpoli
472286193,"M.S.,Opinionated,but at least I have 1 & U R entitled 2 it. I believe in faith,hope and LOVE! A @stephenlewisfdn fan",RT @FAQMP: Which MP are we interviewing next? Check out the schedule:http://t.co/eUMzTB7elb #lpc #ndp #cpc #cdnpoli
160027610,,@stephenlautens @northernck 2013 Omni-Budget: Economic Inaction Scam or Economic Advertising Scam #cdnpoli #cpc #robocalls #elxnfraud
113243765,"Software dev/sysadmin with a poli sci background. Like punk, garage, rave music and everything in between. Current MBA student, specializing in sustainability.",Canada no longer one of top 10 most developed countries: United Nations http://t.co/MN4jctRFyG | good job #CPC! your policies rock! #cdnpoli
475308891,"News junkie, liberal, atheist, hashtag abuser, and angry at #China since June 4, 1989. Some tweets may shock and/or offend. Sorry, I can't follow everyone back.","#China #CCP #NPC #CPC RT @markmackinnon: Take that, Axl Rose. Chinese democracy in action... #redsmoke http://t.co/7eXFxK6jkt"
385748033,"Into politics, policy, wine, chocolate cake, and funny people. ",RT @chrisjmcclure: Canada no longer one of top 10 most developed countries: United Nations http://t.co/MN4jctRFyG | good job #CPC! your  ...
372303687,"director of lands & ec devp, vice president of CANDO",RT @Beari8it: @PMHarper the pope resigned .. you can do it too! #cdnpoli #CPC #roft
274214651,"from southern beginnings, made my way up north to Kitchener, southwestern Ontario; have a somewhat irreverent, alternative perspective; great fan of diving.","@buck_tracks @VIA_Rail #realrails4canada Riders, both current &amp; potential, should count at least as much as #CPC ""hidden"" agenda."
306279729,"A geeky rail transit enthusiast tweeting about transit, urban issues and random items of interest. #YKF","RT @rabbitupnorth: @buck_tracks @VIA_Rail #realrails4canada Riders, both current &amp; potential, should count at least as much as #CPC  ..."
138616596,"Inform. Impact. Inspire. Is what we do.
Independent. Indigenous. Is who we are.
Original and objective coverage of news and issues from Windspeaker/AMMSA.",#CPC Peter Penashue to announce he is resigning his seat and intends to run in bi-election.
159282071,#BornThisWay:) ,RT @windspeakernews: #CPC Peter Penashue to announce he is resigning his seat and intends to run in bi-election.
16755552,"PhD Student at the University of Saskatchewan, in experimental space physics. I like me some politics too. Opinions are my own (and ignorant, usually) - beware!",Where was this caucus when the fed govt denied a refugee chemotherapy? | SK #CPC Caucus statement … http://t.co/M2Z8koeYWB #skpoli #cdnpoli
539656934,Aboriginal Issues/ Aboriginal Health follows you,RT @windspeakernews: #CPC Peter Penashue to announce he is resigning his seat over alleged political campaign donation irregularities.   ...
629785384,Get a haircut and get a real job :) ,RT @AlbertaGrl: Dear #MediaParty -  ask yourself how you would report this if ANY #CPC tweeted this &gt;&gt;&gt;&gt; http://t.co/MhnaYyj ...
379008073,"Young professional living and working in #LDNOnt. Completing my PhD at #westernu in cell biology but have an interest in #cdnpoli, #onpoli, #uspoli.","#CPC @PeterPenashue to resign, says @CBCNews. #cdnpoli"
49687037,Researcher. Policy wonk. Data geek. Culture vulture. Heritage junkie. Blue Jays booster. Library maven. Toronto lover. CBC fan. Wine drinker. Genealogist. Mom.,"RT @inklesspw: John Duncan, Peter Penashue, Mike Duffy, Patrick Brazeau, Bev Oda: Welcome to the 7-year ethical itch. #cdnpoli #CPC"
75016616,"Worked on 16 campaigns from across Canada including BC, AB, Sask, NS, NB and across Ontario. Political staffer for an NDP MP.",#CPC MP Peter Penashue resigned and will re-run in a by-election. #cdnpoli
241355995,I auto correct your tweets -  you just can't make this stuff up,#CPC MP Peter Penashue resigned and will re-run in a by-erection. #cdnpoli
203646071,"Partner in Oman Energy Services (OES) Omani company HO in Muscat, Oman.

President Donn Lovett Agency, public and media relations to clients since 1990.",RT @chrisjmcclure: Canada no longer one of top 10 most developed countries: United Nations http://t.co/MN4jctRFyG | good job #CPC! your  ...
501433802,"A musicologist, passionate by the arts, feminist and #WomenRights advocate. I tweet about #ReproRights, #NDP, #arts and classical #music, in French and English.",There's so much to do to fight gender discrimination and all the #CPC can do is come up with MORE sexism? Embarassing. #M408. #ProtectGirls
85612633,"NDP researcher. I like leaks, brown envelopes and people who leave things behind them. Don't blame the bull when you get the horn.",So the admission of illegal donations... #cdnpoli #CPC
174137795,I am reporter and all round news hound for CKNW News Talk 980 in Vancouver. BC's most well respected and listened to newsroom.  ,#Breaking #cpc MP for #Labrador &amp; Intergovernmental Affairs Minister Peter Penashue is resigning. #cdnpoli
19240249,Breaking news from CKNW News Talk 980 - BC's News Leader.,#Breaking #cpc MP for #Labrador &amp; Intergovernmental Affairs Minister Peter Penashue is resigning. #cdnpoli
16116073,"Working hard for bold progressive change & good government, in #vanpoli & #cdnpoli - Opinions here are my own",By-election time in NL: Penashue steps down http://t.co/DZ188v9EOK #cdnpoli #lpc #ndp #cpc
12034642,"National Bureau Chief, Sun Media. Based in Ottawa, Canada. I cover Canadian federal politics. RTs mean I find you interesting. Thanks for contributing. ",#NDP take: RT @ValckeNDP: So the admission of illegal donations... #cdnpoli #CPC
315296719,"Hosts South Louisiana Gumbo on CJSW.com and 90.9 FM — From Acadian to Hip-Hop and back, 7PM MT Mondays #cjsw #calgary #louisiana #cajun #zydeco Tweets politics ","@pmharper Wow! The ""accountable"" #CPC #PCC seem to be falling off the wagon like kingpins #cdnpoli #calgary #PeterPenashue"
273405104,"favorite foods in the great forest include wild salmon, blueberries, honey - read posts entirely at your own risk
IDLE NO MORE  ",Conservative dominoes are beginning to fall... once one goes watch the fun begin. #cdnpoli #CPC #Dominoes
510942432,No one ever went broke singing the praises of the ruling class. ,#CPC mantra: Election fraud is just a successful election with leaks.
100689906,Nerd alert!,RT @davidakin: #NDP take: RT @ValckeNDP: So the admission of illegal donations... #cdnpoli #CPC
247897149,"Policy Director of @OYLorg. @OVYL_JLOV President. #Cdnpoli, #uOttawa, #Ottcity #OLP #LPC","Maybe the new #CPC Intergovernmental Affairs Minister will engage the provinces or talk to them... Wait, BREAKING: Pigs flying?! #Cdnpoli"
89704537,,"RT @ShaneMackenzie_: Maybe the new #CPC Intergovernmental Affairs Minister will engage the provinces or talk to them... Wait, BREAKING:  ..."
210138966,"Liberal Party enthusiast, Vancouverite, political science student, theatre-goer, cyclist, tourism employee","But if @PeterPenashue isn't Intergov. Minister, who's going to (not) work with the provinces?? #cdnpoli #cpc #lpc"
277730808,"This animal 
* generally prefers remote areas, far away from humans and development
* has one of the most striking pelts of all fur-bearing animals",RT @mrsinisterlefty: #CPC mantra: Election fraud is just a successful election with leaks.
267529750,"I am more than I realize, less than I think of myself, a part of the universe, in love with my soul mate; Beyond darkness lies a portal to life...",Funny how #CPC #cdnpoli #MP's &amp; #Senators pay back/step down ONLY AFTER they R going to be or have been caught!!!
400836180,"I love my CBC, Lattés, Yoga and of course politics :-)",Cabinet minister Peter #Penashue quitting over donations http://t.co/SGrSSaEjSX #cpc #corruption #cdnpol
222987791,"There are 2 kinds of humor. One makes us chuckle about our foibles and shared humanity. The other holds people up to public ridicule. Molly Ivins 1944-2007
",@fernhilldammit Let's see how it plays out. #CPC excels in throwing those who are NOT members of the old white men's club under bus.
501380555,We will never surrender!! Expect us.,RT @mrsinisterlefty: #CPC mantra: Election fraud is just a successful election with leaks.
6634632,"Saskatchewan Blogger in Regina.
IT pro, Car Share organizer; salvager extraordinaire; wiser than I was yesterday. Aspiring political leader @JohnKleinRegina",RT @mrsinisterlefty: #CPC mantra: Election fraud is just a successful election with leaks.
16315028,"Proud Pinko, Fanatic of Canadian & US Politics, Lover of #RedWings and #BoxSox. Humanitarian, Still believe the Right continues to go Wrong","Penashue's doing right thing, so I guess that means Harper, Findley, Gerstein, Wallin, Duffy, Brazeau doing wrong. #Fraud is #Fraud #CPC"
460172196,Committed to #liberal values and the #halton riding as a member of #lpc and #olp.  comments and opinions are my own!,RT @mrsinisterlefty: #CPC mantra: Election fraud is just a successful election with leaks.
423823137,Pointing and laughing at the world like Judges on The Muppets #Knicks #Steelers #Yankees #Jays #OttawaU THA #U #Canada--Trinidad Man,RT @mrsinisterlefty: #CPC mantra: Election fraud is just a successful election with leaks.
61562192,Liberal Party of Canada in British Columbia. Tweets by our Social Engagement Team. Tweet us to join us,Breaking: Peter Penashue resigns over ineligible donations http://t.co/gQLqwVPkSc #cdnpoli #lpc #cpc
21315649,,RT @Nonanon_anon: It's not winning if you have 2 cheat. @pmharper #cdnpoli time to deregister the #cpc. cheats and liars. Look at statem ...
498230889,Do you think this is my real moustache?,"@canadiancynic election finance problems, support for child porn, #cpc is having a great month!"
254999238,"I 'yams whats I ams, and dats all that I 'yams",@saskboy @TraceyKent Which he will blithely exceed  #elxnfraud #cdnpoli #CPC
25198091,Motivational Speaker / Supporter of immigrant success / HuffPo Blogger / I created Whitney-fan•com in the 90s / 'Chu francophone. / Je blogue sur HuffPost.,"Could he not just do like Duffy, rtn the money? RT""Peter Penashue quits as MP over ineligible campaign donations http://t.co/1qVqcWCZJw #CPC"
311286748,A few gossip gems from Parliament Hill.,"I cant believe that the NDP would attack(Penashue)for spending too much time in beautiful NL""-@PierrePoilievre #cdnpoli #ottawa #cpc #nepean"
176548558,,RT @Nonanon_anon: It's not winning if you have 2 cheat. @pmharper #cdnpoli time to deregister the #cpc. cheats and liars. Look at statem ...
186285606,When I figure it out I'll let you know. Re-tweets may or may not be an endorsement.,RT @Nonanon_anon: It's not winning if you have 2 cheat. @pmharper #cdnpoli time to deregister the #cpc. cheats and liars. Look at statem ...
262522708,"Artist, http://pennerfineart.com Truth, Integrity, &Justice 4 All...In a time of universal deceit, truth-telling becomes a revolutionary act~George Orwell",RT @APsalmanD: Funny how #CPC #cdnpoli #MP's &amp; #Senators pay back/step down ONLY AFTER they R going to be or have been caught!!!
361058702,Passionate abt my wife (@Energy_MD) #community #opensource #webdev #sustainability #ag #localfood... Founder of @AwaknMe. Capn @HazeyShark. Opinions are my own.,Breaking: #CPC Cabinet minister Peter Penashue quitting over donations http://t.co/lp7AQFgtkf #cdnpoli #canpoli #elxnfraud
160190953,"Wanting to Be the Change. Vegetarian, in my prime, empty-nester, Law Clerk, Green Party of Ontario/Canada - Whitby-Oshawa.",RT @mrsinisterlefty: #CPC mantra: Election fraud is just a successful election with leaks.
77254498,#Green Product #Design| Optimist| #UN #HumanRights #ClimateChange Actionist| #Swarm #Theory #Science| #Snark #Blog & DGD #Environment Daily ePaper. #CdnPoli ;),It's comical 2C #CPC convervatives blame their staff. I wonder how these folks would do in #Engineering. #Humour #Crime #Corruption #CdnPoli
535486548,Back by popular demand...,So apparently I missed some #CPC action this aft...
1058370912,"Concerned Canadian:  environment, social justice, democracy, human rights","Penashue blames inappropriate campaign funds on staffer.  Typical Con.
#Penashue #CPC #cdnpoli #fraud"
567814795,"Métis. Canadian. Federal Liberal. Provincial Green. Scout. These tweets are mine, and only mine.",#InandOut and now #Penashue... Just how much #elxnfraud has the #CPC committed? #cdnpoli
46286710,Publisher and programmer of Canada's only web database of federal election statistics.  News and political junkie.,RT @davidakin: #CPC take. MT @derekvanstone: Penashue's a very solid guy doing the right thing. No surprise here. Good for him for respe ...
140899011,A blogger with a short amount of time on his hands,"Shorter @PeterPenashue Thank you, thank, you, I'd like to blame my staffers for this http://t.co/GLEqkKleiT #cdnpoli #cpc @cpc_hq"
962044404,"Defender of peace , the planet , the underdog and the last slice of strawberry shortcake. *Free Cetaceans!* *Free Palestine!* Peace!
https://t.co/mVYq61Gr",Isn't there even 1 respectable member of the #cpc gov? Minister Peter Penashue quitting over donations #cdnpoli  http://t.co/s9btDkYOUT
27161840,"Natural scientist + policy wonk, love science/policy relationship + knowledge brokering. A Liberal/liberal, animal-loving, indie nerd + environmentalist.",RT @braedencaley: By-election time in NL: Penashue steps down http://t.co/DZ188v9EOK #cdnpoli #lpc #ndp #cpc
107886768,"political junkie in rehab.  I am pro human rights: voting, women's and the right to marry whomever you love. Straight but not narrow. ",RT @davidakin: #CPC take. MT @derekvanstone: Penashue's a very solid guy doing the right thing. No surprise here. Good for him for respe ...
1066176374,"The political account of @j_domin. Interested in #cdnpoli, #transparency, #cooperation, #opengov, #sustainability, #localfood, #electoralreform, #idlenomore.",RT @j_domin: Breaking: #CPC Cabinet minister Peter Penashue quitting over donations http://t.co/lp7AQFgtkf #cdnpoli #canpoli #elxnfraud
566579915,A New Democrat before being a New Democrat was cool. *Views here are my own* ,Do the Conservatives know it's not Friday at 5 pm yet? MT @CBCAlerts #CPC MP Peter Penashue from N.L. to resign: CBC #cdnpoli
260448523,The only parody place The Dear Leader can really be himself and tell Canadians how little he cares.,"Look, I firmly believe #CPC MPs found guilty of finance violations s/ run in next elxn w/ one secret bank a/c tied behind their back."
277132286,"INFJ Hyperlexic father of three, writer, tower crane operator. Husband of @mindthecompany Trying to overdose on literature, politics, coffee, and chocolate. ","With this much of a meltdown in trust, why doesn't the #cpc call an election to allow the electorate to decide? Oh yeah, absolute power."
433867215,Politics/Religion/Food/Photography/FreeThinking/ Philosophy/Literature/Wannabe Writer/ 'Mature' University Student... The Unexamined Life is Not Worth Living!,Tory Minister Peter Penashue quits over illegal campaign donations http://t.co/PvgBTCKz41 via @HuffPostCanada #cdnpoli #LPC #NDP #CPC
96874375,"community organizer, environmentalist, humanist, queer rights advocate, proud young liberal of canada; #lpc #canqueer #cdnpoli #bcpoli. Opinions are my own.",Surprised the Penashue resignation wasn't made at 11:57pm on a Friday #cdnpoli #cpc
312660421,Grassroots Conservative Party of Canada EDA in Ottawa South. Seeking to promote conservative values and elect a Conservative Member of Parliament #OSPoli #CPC,Our #CPC govt welcomes the selection of His Holiness Pope Francis as Supreme Pontiff of the Catholic Church.
356262824,"Metis Nation Citizen, Labour Activist, Smart Ass...

",Statement: Penashue steps down over 'ineligible' campaign donations http://t.co/EcdYbkqdDQ #CPC accountability = blame a volunteer
164324862,"Information junkie and avid learner. Compassion, Human rights, Gratitude + Civil liberties are important. Freedom is coming.
Welcome.",RT @Nonanon_anon: The #cpc has done everything to obstruct investigations into #elxnfraud and prosecutions of voter fraud. All u need to ...
522452889,"Hate Canada's Prime Minister Stephen Harper.  He's a right-wing corporate 1% puppet who steals elections.  That's it.

♥",RT @APsalmanD: @Nonanon_anon Actually I think cheating is an epidemic running throughout #CPC ...they need to be quarantined immediately ...
395691956,Young Liberal • @AYLiberals • Punjabi Music Aficionado  #TeamTrudeau Supporter  ,RT @LPCBC: Breaking: Peter Penashue resigns over ineligible donations http://t.co/gQLqwVPkSc #cdnpoli #lpc #cpc
250906632,"I Tweet mostly news stories to the hashtag #cdnpoli
No longer tweet CBC.ca news since they started blocking comments",RT @LakeBass: @kady @alexboutilier Peneshue's resignation statement reads more like a campaign pitch than an apology for 2011 #CPC Elect ...
15254148,front end web developer/graphic designer - proud canadian - cat lover - atheist - science boy - seeker of truth - the sleep of reason brings forth monsters.,RT @Nonanon_anon: Ask your #cpc MP (if you have 1) to swear they were not involved with elxnfraud on the record. Ask publicly. #cdnpoli
552119609,Host of Investortoday.ca political wonk Happily Married living the Canadian Dream.Father to great young Man busy traveller,@CBCPolitics #CPC slammed the #LPC for Trust &amp; Tax $$ issue's now scurrying for cover as Trust &amp; Tax $$ issues stalking them.#EAP #PMHarper
776270952,"I am my own person , having bowed down to no man , institution or religion , walking  my own path with the creator  !!! ","RT @lexinc: #SunNews an ""organ"" of the #CPC. #InsertPenisJokeHere And...Yea, 90% of cdns opposed to them getting on basic cable! http:// ..."
16161679,"Please, call me Will... National Newswatch: Everyone reads it",Is Peter Penashue guaranteed the #CPC nomination in the riding of Labrador?
378298356,"Born, educated in Quebec, also lived in B.C., N.S. and Ontario. Political Activist in training. Worked in the technology sector.
",There was a lot of wrong doing in #CPC Cabinet minister Peter Penashue campaign http://t.co/zWSAzq5JKn #cdnpoli #canpoli #elxnfraud
19825011,I put fuel in my mouth and spit it at fire for a career. Stay in school kids.,RT @natnewswatch: Is Peter Penashue guaranteed the #CPC nomination in the riding of Labrador?
131175096,"Food & wine lover, pinot noir addict, father & grandfather, recovering lobbyist, and Closson Chase ambassador.   ",RT @MuskokaMoneybag: There was a lot of wrong doing in #CPC Cabinet minister Peter Penashue campaign http://t.co/zWSAzq5JKn #cdnpoli #ca ...
880770732,"Im a Native traditional mom of 6 amazing children. I manage talent. Im always an advocate,Trying to change the world 1 step at a time!  #idlenomore  ",RT @MuskokaMoneybag: There was a lot of wrong doing in #CPC Cabinet minister Peter Penashue campaign http://t.co/zWSAzq5JKn #cdnpoli #ca ...
95539607,"Following Canadian & international politics, security, development, feminism, social movements. Proud New Democrat. I retweet a lot. I like poutine.",RT @samdinicol: Do the Conservatives know it's not Friday at 5 pm yet? MT @CBCAlerts #CPC MP Peter Penashue from N.L. to resign: CBC #cd ...
18454463,Just a busy guy trying to leave things better than I found them.,Shock! Another @pmharper #minister cheated 2 win his seat: Peter Penashue resigns http://t.co/09qebc39ry #cdnpoli #cpc #softondemocracy
291126048,"Husband, father of three, muckraker extraordinaire. Invited into Regina's finest homes. Once.",RT @mrsinisterlefty: #CPC mantra: Election fraud is just a successful election with leaks.
1026385562,"Cree/ LFC, Boston Bruins and Jays fan/ I love foods but I m no chef/ serial snack eater/ coffee addict/ soft hearted dad/ 3 daughters/ I married a beach bum :-)",#CPC is becoming #endangeredspecies. #cdnpoli
19365670,I'm Dan. From Toronto. :-),RT @LakeBass: Peneshue's resignation statement reads more like a campaign pitch than an apology for 2011 #CPC Election Fraud #cdnpoli
